Time (UTC);Open;High;Low;Close;Volume 
2025.11.02 23:01:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:02:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:03:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:04:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:05:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:06:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:07:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:08:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:09:00;1,93884;1,93884;1,93884;1,93884;0
2025.11.02 23:10:00;1,93865;1,93887;1,93863;1,93873;73,92
2025.11.02 23:11:00;1,93864;1,93886;1,93864;1,93875;79,2
2025.11.02 23:12:00;1,93875;1,93875;1,93861;1,93863;73,92
2025.11.02 23:13:00;1,93862;1,93882;1,93862;1,93868;58,08
2025.11.02 23:14:00;1,93869;1,93882;1,93858;1,93868;89,76
2025.11.02 23:15:00;1,93867;1,93878;1,93863;1,93863;58,08
2025.11.02 23:16:00;1,93862;1,93872;1,93856;1,93872;89,76
2025.11.02 23:17:00;1,93872;1,93872;1,93868;1,93868;58,08
2025.11.02 23:18:00;1,93868;1,93868;1,93868;1,93868;42,24
2025.11.02 23:19:00;1,93868;1,93868;1,93868;1,93868;26,4
2025.11.02 23:20:00;1,93868;1,93869;1,9384;1,93864;132
2025.11.02 23:21:00;1,93864;1,93865;1,93862;1,93863;84,48
2025.11.02 23:22:00;1,93863;1,93863;1,93863;1,93863;21,12
2025.11.02 23:23:00;1,93864;1,93864;1,93861;1,93861;52,8
2025.11.02 23:24:00;1,93865;1,93871;1,93853;1,93871;63,36
2025.11.02 23:25:00;1,93871;1,93871;1,93859;1,93871;89,76
2025.11.02 23:26:00;1,93871;1,93872;1,93871;1,93871;42,24
2025.11.02 23:27:00;1,93871;1,93871;1,93871;1,93871;5,28
2025.11.02 23:28:00;1,93871;1,93871;1,93871;1,93871;36,96
2025.11.02 23:29:00;1,93871;1,93871;1,93855;1,93868;153,12
2025.11.02 23:30:00;1,93868;1,93871;1,93862;1,93871;242,88
2025.11.02 23:31:00;1,93871;1,93871;1,93859;1,93859;116,16
2025.11.02 23:32:00;1,93859;1,93863;1,93858;1,9386;168,96
2025.11.02 23:33:00;1,93859;1,9386;1,93859;1,9386;110,88
2025.11.02 23:34:00;1,9386;1,93864;1,93859;1,9386;105,6
2025.11.02 23:35:00;1,9386;1,9386;1,93859;1,9386;84,48
2025.11.02 23:36:00;1,93859;1,9386;1,93859;1,93859;89,76
2025.11.02 23:37:00;1,9386;1,93862;1,93846;1,93861;158,4
2025.11.02 23:38:00;1,93859;1,9386;1,9384;1,93843;105,6
2025.11.02 23:39:00;1,93842;1,93864;1,93842;1,93863;121,44
2025.11.02 23:40:00;1,93863;1,93875;1,93863;1,93864;142,56
2025.11.02 23:41:00;1,93865;1,93865;1,93863;1,93863;63,36
2025.11.02 23:42:00;1,93863;1,93863;1,93846;1,93859;84,48
2025.11.02 23:43:00;1,93859;1,93866;1,93846;1,93859;153,12
2025.11.02 23:44:00;1,93859;1,93863;1,93846;1,93859;84,48
2025.11.02 23:45:00;1,93863;1,93863;1,93852;1,93863;79,2
2025.11.02 23:46:00;1,93852;1,93871;1,93848;1,93866;79,2
2025.11.02 23:47:00;1,93866;1,93866;1,93865;1,93865;121,44
2025.11.02 23:48:00;1,93865;1,93865;1,93865;1,93865;79,2
2025.11.02 23:49:00;1,93865;1,93872;1,93865;1,93865;137,28
2025.11.02 23:50:00;1,93865;1,93865;1,93865;1,93865;116,16
2025.11.02 23:51:00;1,93865;1,93868;1,93865;1,93868;110,88
2025.11.02 23:52:00;1,93867;1,9387;1,93867;1,9387;179,52
2025.11.02 23:53:00;1,9387;1,9387;1,9387;1,9387;100,32
2025.11.02 23:54:00;1,9387;1,93871;1,93844;1,93871;110,88
2025.11.02 23:55:00;1,93871;1,93871;1,93866;1,93866;84,48
2025.11.02 23:56:00;1,93867;1,93872;1,93866;1,93866;116,16
2025.11.02 23:57:00;1,93867;1,93867;1,9386;1,9386;95,04
2025.11.02 23:58:00;1,93862;1,93872;1,93856;1,93872;79,2
2025.11.02 23:59:00;1,93863;1,93872;1,93854;1,93854;84,48
2025.11.03 00:00:00;1,93879;1,93879;1,93865;1,93865;68,64
2025.11.03 00:01:00;1,93865;1,93865;1,93859;1,93863;73,92
2025.11.03 00:02:00;1,93864;1,93864;1,93853;1,93861;105,6
2025.11.03 00:03:00;1,93861;1,93867;1,93861;1,93864;79,2
2025.11.03 00:04:00;1,93865;1,93866;1,93859;1,93859;58,08
2025.11.03 00:05:00;1,93856;1,93862;1,93856;1,93862;47,52
2025.11.03 00:06:00;1,93862;1,93863;1,93862;1,93862;15,84
2025.11.03 00:07:00;1,93863;1,93866;1,93862;1,93863;58,08
2025.11.03 00:08:00;1,93863;1,93864;1,93862;1,93863;36,96
2025.11.03 00:09:00;1,93862;1,93862;1,9386;1,93861;52,8
2025.11.03 00:10:00;1,93863;1,93865;1,93861;1,93861;52,8
2025.11.03 00:11:00;1,93862;1,93865;1,93861;1,93863;31,68
2025.11.03 00:12:00;1,93863;1,93866;1,93863;1,93863;52,8
2025.11.03 00:13:00;1,93861;1,93864;1,93861;1,93863;26,4
2025.11.03 00:14:00;1,93862;1,93865;1,93862;1,93863;36,96
2025.11.03 00:15:00;1,93864;1,93886;1,93864;1,93886;242,88
2025.11.03 00:16:00;1,93884;1,93887;1,93882;1,93884;110,88
2025.11.03 00:17:00;1,93884;1,93884;1,93883;1,93883;15,84
2025.11.03 00:18:00;1,93882;1,93882;1,93882;1,93882;10,56
2025.11.03 00:19:00;1,93884;1,93894;1,93884;1,93894;68,64
2025.11.03 00:20:00;1,93894;1,93898;1,93894;1,93894;100,32
2025.11.03 00:21:00;1,93895;1,93895;1,93883;1,93888;73,92
2025.11.03 00:22:00;1,93887;1,93887;1,93872;1,93874;116,16
2025.11.03 00:23:00;1,93876;1,93876;1,93864;1,93869;116,16
2025.11.03 00:24:00;1,93866;1,93875;1,93862;1,93873;132
2025.11.03 00:25:00;1,93874;1,93882;1,93872;1,93882;110,88
2025.11.03 00:26:00;1,93881;1,93886;1,9388;1,93883;79,2
2025.11.03 00:27:00;1,93883;1,93891;1,93883;1,9389;89,76
2025.11.03 00:28:00;1,93892;1,93895;1,93892;1,93893;42,24
2025.11.03 00:29:00;1,93893;1,93894;1,93887;1,93887;63,36
2025.11.03 00:30:00;1,93888;1,93898;1,93887;1,93893;153,12
2025.11.03 00:31:00;1,93892;1,93907;1,93892;1,93904;158,4
2025.11.03 00:32:00;1,93905;1,93913;1,93904;1,93911;68,64
2025.11.03 00:33:00;1,93912;1,93913;1,93911;1,93912;36,96
2025.11.03 00:34:00;1,93912;1,93912;1,93911;1,93912;63,36
2025.11.03 00:35:00;1,93911;1,93912;1,93911;1,93911;42,24
2025.11.03 00:36:00;1,93912;1,93915;1,93912;1,93914;47,52
2025.11.03 00:37:00;1,93913;1,93916;1,93912;1,93912;58,08
2025.11.03 00:38:00;1,93914;1,93914;1,93912;1,93913;52,8
2025.11.03 00:39:00;1,93913;1,93914;1,93912;1,93912;36,96
2025.11.03 00:40:00;1,93912;1,93913;1,93889;1,93889;100,32
2025.11.03 00:41:00;1,93888;1,93892;1,93885;1,93887;84,48
2025.11.03 00:42:00;1,93888;1,93891;1,93878;1,93879;100,32
2025.11.03 00:43:00;1,93877;1,9389;1,93876;1,93889;142,56
2025.11.03 00:44:00;1,93889;1,93897;1,93885;1,9389;116,16
2025.11.03 00:45:00;1,93892;1,93899;1,93888;1,93898;116,16
2025.11.03 00:46:00;1,93898;1,93907;1,93898;1,93906;116,16
2025.11.03 00:47:00;1,93906;1,9391;1,93905;1,9391;63,36
2025.11.03 00:48:00;1,93913;1,93913;1,93911;1,93912;52,8
2025.11.03 00:49:00;1,93912;1,93913;1,93912;1,93912;36,96
2025.11.03 00:50:00;1,93913;1,93913;1,93901;1,93904;105,6
2025.11.03 00:51:00;1,93904;1,93908;1,93903;1,93906;100,32
2025.11.03 00:52:00;1,93907;1,93909;1,93905;1,93908;100,32
